,Model,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
0,BRNN RMSProp,0.9517996870109546,0.9517996870109546,0.9517996870109546,0.9925549626350403,0.9588744588744589,0.1355198174715042,0.9517996870109546,133.64
1,BRNN Nadam,0.9422605862101674,0.9352277407132856,0.938632854225356,0.9864636063575745,0.948051948051948,0.14717711508274078,0.9352277407132856,128.27
2,BRNN Adam-Weight-Decay,0.946795957108409,0.9303681739560168,0.9380032206119162,0.9830795526504517,0.948051948051948,0.14587415754795074,0.9303681739560168,135.12
3,BRNN Adam,0.9168278886370755,0.8726628778519068,0.890535878365493,0.9275803565979004,0.9112554112554112,0.28192341327667236,0.8726628778519067,123.45
4,BRNN SGD,0.3457792207792208,0.5,0.4088291746641075,0.6859560012817383,0.6915584415584416,0.6142481565475464,0.5,137.99
5,BRNN Adagrad,0.3457792207792208,0.5,0.4088291746641075,0.6842639446258545,0.6915584415584416,0.6337398290634155,0.5,133.34
6,BRNN Ftrl,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6908320784568787,0.5,134.5
7,BRNN SGD-Nesterov-Momentum,0.3457792207792208,0.5,0.4088291746641075,0.6869712471961975,0.6915584415584416,0.6192713975906372,0.5,133.57
8,BRNN Adadelta,0.3456121343445287,0.49921752738654146,0.40845070422535207,0.6852791905403137,0.6904761904761905,0.6508070826530457,0.49921752738654146,136.52
9,BRNN SGD-Momentum,0.2782608695652174,0.4955193147187217,0.23558010621890388,0.5881556868553162,0.30627705627705626,1.0381180047988892,0.4955193147187217,134.28
