Model,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
Bi-GRU Nadam,0.975974171813588,0.96548060291574,0.970505904509188,0.9983079433441162,0.9751082251082251,0.1149840354919433,0.96548060291574,444.84
Bi-GRU RMSProp,0.969593027109432,0.9668313977431842,0.9681961430595312,0.9932318329811096,0.9729437229437228,0.0945422872900962,0.966831397743184,447.24
Bi-GRU Adam-Weight-Decay,0.9630039303761933,0.952796310023886,0.9576823847305742,0.9976311326026917,0.9642857142857144,0.1190484762191772,0.952796310023886,724.03
Bi-GRU Adam,0.957862263485721,0.9278560250391236,0.9410673360253192,0.9962775111198424,0.9512987012987012,0.138371467590332,0.9278560250391236,440.59
Bi-GRU SGD,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6480523943901062,0.5,445.0
Bi-GRU Adagrad,0.5959869848156183,0.5009719133514537,0.4121966844268059,0.6876480579376221,0.6915584415584416,0.6899455785751343,0.5009719133514537,706.84
Bi-GRU Ftrl,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6908400058746338,0.5,746.34
Bi-GRU SGD-Momentum,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6167374849319458,0.5,745.69
Bi-GRU SGD-Nesterov-Momentum,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6173345446586609,0.5,736.84
Bi-GRU Adadelta,0.5221986548467215,0.5201713203195784,0.4252193631075618,0.4365482330322265,0.4264069264069264,0.6942523121833801,0.5201713203195784,777.27
