Model,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
Bi-LSTM Adam-Weight-Decay,0.9791467135888812,0.9724981467753891,0.9757331140153844,0.9939086437225342,0.9794372294372294,0.0809895917773246,0.972498146775389,564.25
Bi-GRU Nadam,0.975974171813588,0.96548060291574,0.970505904509188,0.9983079433441162,0.9751082251082251,0.1149840354919433,0.96548060291574,444.84
Bi-GRU RMSProp,0.969593027109432,0.9668313977431842,0.9681961430595312,0.9932318329811096,0.9729437229437228,0.0945422872900962,0.966831397743184,447.24
Bi-LSTM RMSProp,0.965597978663672,0.9553331686022568,0.960247088686297,0.9912013411521912,0.9664502164502164,0.1191581785678863,0.9553331686022568,524.99
Bi-GRU Adam-Weight-Decay,0.9630039303761933,0.952796310023886,0.9576823847305742,0.9976311326026917,0.9642857142857144,0.1190484762191772,0.952796310023886,724.03
Bi-LSTM Nadam,0.9603055479608746,0.9529857507618812,0.956531605076294,0.9935702085494996,0.9632034632034632,0.100441463291645,0.9529857507618812,528.05
BRNN RMSProp,0.9517996870109546,0.9517996870109546,0.9517996870109546,0.9925549626350404,0.9588744588744588,0.1355198174715042,0.9517996870109546,133.64
Bi-LSTM Adam,0.9502819932975506,0.953743513713862,0.951985296933032,0.9888324737548828,0.9588744588744588,0.1479572057723999,0.953743513713862,563.31
Bi-GRU Adam,0.957862263485721,0.9278560250391236,0.9410673360253192,0.9962775111198424,0.9512987012987012,0.138371467590332,0.9278560250391236,440.59
BRNN Nadam,0.9422605862101674,0.9352277407132856,0.938632854225356,0.9864636063575744,0.948051948051948,0.1471771150827407,0.9352277407132856,128.27
BRNN Adam-Weight-Decay,0.946795957108409,0.9303681739560168,0.9380032206119162,0.9830795526504515,0.948051948051948,0.1458741575479507,0.9303681739560168,135.12
BRNN Adam,0.9168278886370756,0.8726628778519068,0.890535878365493,0.9275803565979004,0.9112554112554112,0.2819234132766723,0.8726628778519067,123.45
Bi-LSTM SGD,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6458283066749573,0.5,539.24
BRNN SGD-Nesterov-Momentum,0.3457792207792208,0.5,0.4088291746641075,0.6869712471961975,0.6915584415584416,0.6192713975906372,0.5,133.57
Bi-GRU SGD-Nesterov-Momentum,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6173345446586609,0.5,736.84
Bi-GRU SGD-Momentum,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6167374849319458,0.5,745.69
Bi-GRU Ftrl,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6908400058746338,0.5,746.34
Bi-GRU Adagrad,0.5959869848156183,0.5009719133514537,0.4121966844268059,0.6876480579376221,0.6915584415584416,0.6899455785751343,0.5009719133514537,706.84
BRNN SGD,0.3457792207792208,0.5,0.4088291746641075,0.6859560012817383,0.6915584415584416,0.6142481565475464,0.5,137.99
Bi-GRU SGD,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6480523943901062,0.5,445.0
BRNN Adagrad,0.3457792207792208,0.5,0.4088291746641075,0.6842639446258545,0.6915584415584416,0.6337398290634155,0.5,133.34
BRNN Ftrl,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6908320784568787,0.5,134.5
Bi-LSTM SGD-Nesterov-Momentum,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6138551235198975,0.5,555.09
Bi-LSTM SGD-Momentum,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6170532703399658,0.5,520.43
Bi-LSTM Ftrl,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6908330917358398,0.5,544.71
Bi-LSTM Adagrad,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6765848398208618,0.5,531.31
BRNN Adadelta,0.3456121343445287,0.4992175273865414,0.408450704225352,0.6852791905403137,0.6904761904761905,0.6508070826530457,0.4992175273865414,136.52
Bi-GRU Adadelta,0.5221986548467215,0.5201713203195784,0.4252193631075618,0.4365482330322265,0.4264069264069264,0.6942523121833801,0.5201713203195784,777.27
Bi-LSTM Adadelta,0.1542207792207792,0.5,0.2357320099255583,0.3197969496250152,0.3084415584415584,0.694861650466919,0.5,570.18
BRNN SGD-Momentum,0.2782608695652174,0.4955193147187217,0.2355801062189038,0.5881556868553162,0.3062770562770562,1.0381180047988892,0.4955193147187217,134.28
