Optimizer,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
RMSProp,0.9623302309280195,0.9579880844521318,0.9600809729189276,0.9923293789227804,0.966089466089466,0.11640676110982891,0.9579880844521318,368.6233333333333
Adam-Weight-Decay,0.9629822003578278,0.9518875435850974,0.9571395731192917,0.9915397763252258,0.963924963924964,0.11530407518148417,0.9518875435850972,474.4666666666667
Nadam,0.9595134353282099,0.9512313647969689,0.9552234546036127,0.9927805860837301,0.962121212121212,0.12086753795544299,0.9512313647969689,367.0533333333333
Adam,0.9416573818067824,0.9180874722016309,0.927862837107948,0.9708967804908752,0.9404761904761904,0.18941736221313477,0.9180874722016307,375.7833333333333
SGD,0.3457792207792208,0.5,0.4088291746641075,0.6870840390523275,0.6915584415584416,0.6360429525375366,0.5,374.07666666666665
Adagrad,0.42918180879135326,0.5003239711171513,0.4099516779183403,0.6865200201670328,0.6915584415584416,0.6667567491531372,0.5003239711171513,457.16333333333336
Ftrl,0.3457792207792208,0.5,0.4088291746641075,0.6876480579376221,0.6915584415584416,0.6908350586891174,0.5,475.1833333333334
SGD-Nesterov-Momentum,0.3457792207792208,0.5,0.4088291746641075,0.6874224543571472,0.6915584415584416,0.6168203552563986,0.5,475.1666666666667
SGD-Momentum,0.32327310370788637,0.49850643823957386,0.3510794851823729,0.6544839342435201,0.5631313131313131,0.7573029200236002,0.49850643823957386,466.79999999999995
Adadelta,0.34067718947067643,0.5064629492353733,0.35646735908615734,0.4805414577325185,0.47510822510822504,0.6799736817677816,0.5064629492353733,494.6566666666666
