Model,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
Bi-GRU Nadam,0.9849505840071876,0.9802521008403362,0.9825838057333738,1.0,0.9910873440285204,0.0450712330639362,0.9802521008403362,17.88
Bi-GRU RMSProp,0.9937759336099584,0.9647058823529412,0.97857579306482,0.9994425773620604,0.9893048128342246,0.0426174812018871,0.9647058823529412,18.17
Bi-GRU Adam-Weight-Decay,0.964173490763664,0.9819327731092438,0.9727920849701732,0.997770369052887,0.9857397504456328,0.0347821116447448,0.9819327731092438,17.4
Bi-GRU Adam,0.9457537154989384,0.967016806722689,0.9559933624981144,0.9994425773620604,0.9768270944741532,0.0620769076049327,0.967016806722689,17.25
Bi-GRU SGD,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6014342308044434,0.5,17.45
Bi-GRU Adagrad,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6653375029563904,0.5,17.2
Bi-GRU Ftrl,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6895188689231873,0.5,17.36
Bi-GRU SGD-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4259054362773895,0.5,17.24
Bi-GRU SGD-Nesterov-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4251006245613098,0.5,18.1
Bi-GRU Adadelta,0.4926470588235294,0.4867647058823529,0.4616905585763716,0.5891861915588379,0.5882352941176471,0.6921931505203247,0.4867647058823529,17.24
