Model,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
Bi-LSTM Adam,0.9958333333333332,0.976470588235294,0.9858597570197106,0.9894091486930848,0.9928698752228164,0.1079937294125557,0.976470588235294,19.29
Bi-LSTM Adam-Weight-Decay,0.9749017896115232,0.9840336134453782,0.9794002447980416,0.9972129464149476,0.9893048128342246,0.0461733862757682,0.9840336134453782,18.21
Bi-LSTM RMSProp,0.9604746317512276,0.986764705882353,0.9730443974630022,0.9988851547241212,0.9857397504456328,0.0434781089425087,0.986764705882353,17.98
Bi-LSTM Nadam,0.949260042283298,0.9621848739495796,0.9555784305962468,0.994425892829895,0.9768270944741532,0.0559410266578197,0.9621848739495796,18.48
Bi-LSTM SGD,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6034379601478577,0.5,17.62
Bi-LSTM Adagrad,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6662005186080933,0.5,17.42
Bi-LSTM Ftrl,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6895014047622681,0.5,17.52
Bi-LSTM SGD-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4253701567649841,0.5,17.43
Bi-LSTM SGD-Nesterov-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4251480400562286,0.5,17.35
Bi-LSTM Adadelta,0.5043837029396596,0.5004201680672269,0.14387775930948,0.2229654341936111,0.160427807486631,0.6970274448394775,0.5004201680672269,17.42
