Model,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
Bi-LSTM Adam,0.9958333333333332,0.976470588235294,0.9858597570197106,0.9894091486930848,0.9928698752228164,0.1079937294125557,0.976470588235294,19.29
Bi-GRU Nadam,0.9849505840071876,0.9802521008403362,0.9825838057333738,1.0,0.9910873440285204,0.0450712330639362,0.9802521008403362,17.88
Bi-GRU RMSProp,0.9937759336099584,0.9647058823529412,0.97857579306482,0.9994425773620604,0.9893048128342246,0.0426174812018871,0.9647058823529412,18.17
Bi-LSTM Adam-Weight-Decay,0.9749017896115232,0.9840336134453782,0.9794002447980416,0.9972129464149476,0.9893048128342246,0.0461733862757682,0.9840336134453782,18.21
Bi-GRU Adam-Weight-Decay,0.964173490763664,0.9819327731092438,0.9727920849701732,0.997770369052887,0.9857397504456328,0.0347821116447448,0.9819327731092438,17.4
Bi-LSTM RMSProp,0.9604746317512276,0.986764705882353,0.9730443974630022,0.9988851547241212,0.9857397504456328,0.0434781089425087,0.986764705882353,17.98
BRNN RMSProp,0.9741898148148148,0.955672268907563,0.9646493925492766,0.9799330830574036,0.982174688057041,0.1325657963752746,0.955672268907563,136.49
Bi-GRU Adam,0.9457537154989384,0.967016806722689,0.9559933624981144,0.9994425773620604,0.9768270944741532,0.0620769076049327,0.967016806722689,17.25
Bi-LSTM Nadam,0.949260042283298,0.9621848739495796,0.9555784305962468,0.994425892829895,0.9768270944741532,0.0559410266578197,0.9621848739495796,18.48
BRNN Adam,0.966625514403292,0.9203781512605044,0.9416839916839916,0.9771460294723512,0.9714795008912656,0.162270501255989,0.9203781512605044,137.58
BRNN Nadam,0.9470558882235528,0.8321428571428571,0.8772385557477147,0.9955406785011292,0.9447415329768272,0.1586285084486007,0.8321428571428571,143.95
BRNN Adam-Weight-Decay,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4160571992397308,0.5,143.33
Bi-GRU SGD-Nesterov-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4251006245613098,0.5,18.1
Bi-GRU Ftrl,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6895188689231873,0.5,17.36
Bi-GRU Adagrad,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6653375029563904,0.5,17.2
BRNN SGD,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4413251280784607,0.5,143.17
Bi-GRU SGD,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6014342308044434,0.5,17.45
BRNN Adagrad,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4872974455356598,0.5,136.13
BRNN SGD-Nesterov-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4240330457687378,0.5,135.72
BRNN Ftrl,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6894745230674744,0.5,135.64
Bi-LSTM SGD-Nesterov-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4251480400562286,0.5,17.35
Bi-LSTM SGD-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4253701567649841,0.5,17.43
Bi-LSTM Ftrl,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6895014047622681,0.5,17.52
Bi-LSTM Adagrad,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6662005186080933,0.5,17.42
BRNN SGD-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4248500168323517,0.5,136.47
Bi-LSTM SGD,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6034379601478577,0.5,17.62
Bi-GRU SGD-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4259054362773895,0.5,17.24
Bi-GRU Adadelta,0.4926470588235294,0.4867647058823529,0.4616905585763716,0.5891861915588379,0.5882352941176471,0.6921931505203247,0.4867647058823529,17.24
BRNN Adadelta,0.5090477360189962,0.5163865546218487,0.3881775764832226,0.4364548623561859,0.4171122994652406,0.7017707824707031,0.5163865546218487,136.04
Bi-LSTM Adadelta,0.5043837029396596,0.5004201680672269,0.14387775930948,0.2229654341936111,0.160427807486631,0.6970274448394775,0.5004201680672269,17.42
