Optimizer,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
RMSProp,0.9761467933920002,0.9690476190476192,0.9720898610256996,0.9927536050478617,0.9857397504456328,0.07288712883989014,0.9690476190476192,57.546666666666674
Adam,0.9694041877451879,0.9546218487394958,0.9611790370672723,0.9886659185091654,0.9803921568627452,0.11078037942449247,0.9546218487394958,58.04
Nadam,0.9604221715046793,0.9248599439775909,0.938466930692445,0.9966555237770081,0.9708853238265003,0.08654692272345221,0.9248599439775909,60.10333333333333
Adam-Weight-Decay,0.7877725682058704,0.8219887955182074,0.8037362410702792,0.9433296322822571,0.9411764705882354,0.1656708990534146,0.8219887955182074,59.64666666666667
SGD,0.42424242424242414,0.5,0.45901639344262285,0.8350055813789368,0.8484848484848485,0.5487324396769205,0.5,59.41333333333333
Adagrad,0.42424242424242414,0.5,0.45901639344262285,0.8350055813789368,0.8484848484848485,0.6062784890333811,0.5,56.916666666666664
Ftrl,0.42424242424242414,0.5,0.45901639344262285,0.8350055813789368,0.8484848484848485,0.6894982655843099,0.5,56.84
SGD-Momentum,0.42424242424242414,0.5,0.45901639344262285,0.8350055813789368,0.8484848484848485,0.42537520329157513,0.5,57.046666666666674
SGD-Nesterov-Momentum,0.42424242424242414,0.5,0.45901639344262285,0.8350055813789368,0.8484848484848485,0.42476057012875873,0.5,57.056666666666665
Adadelta,0.5020261659273951,0.5011904761904762,0.3312486314563581,0.4162021627028783,0.38859180035650626,0.6969971259435018,0.5011904761904762,56.9
