,Model,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
0,Bi-GRU Adam,0.9593583825162157,0.95949263502455,0.959416153666329,0.9843902587890625,0.9594383775351014,0.1284608393907547,0.9594926350245501,19.56
1,Bi-GRU RMSProp,0.9583357681294922,0.9584697217675942,0.9578779050664797,0.9795122146606445,0.9578783151326054,0.12045901268720627,0.9584697217675942,20.42
2,Bi-GRU Adam-Weight-Decay,0.9547060885141845,0.9550161717714909,0.9547471767194686,0.9834146499633789,0.9547581903276131,0.1326764076948166,0.955016171771491,19.52
3,Bi-GRU Nadam,0.9503999609794167,0.949794443145507,0.9500136468202909,0.9887804985046387,0.9500780031201248,0.13321198523044586,0.949794443145507,20.07
4,Bi-GRU SGD-Momentum,0.734244771693,0.6785178474008261,0.6625049523531497,0.6439024209976196,0.6848673946957878,0.6783952116966248,0.6785178474008261,19.46
5,Bi-GRU SGD,0.6605011198897339,0.6270555685449302,0.6024801129040902,0.6321951150894165,0.6209048361934477,0.6901968717575073,0.6270555685449302,19.67
6,Bi-GRU SGD-Nesterov-Momentum,0.6675450153711023,0.6114975450081833,0.5710363797318945,0.590731680393219,0.6037441497659907,0.6693258285522461,0.6114975450081833,20.32
7,Bi-GRU Adagrad,0.4836219336219336,0.4988942794793859,0.3522890523862253,0.507317066192627,0.5117004680187207,0.6928499937057495,0.49889427947938586,19.46
8,Bi-GRU Ftrl,0.24336973478939158,0.5,0.3273871983210913,0.49560976028442383,0.48673946957878317,0.6931548714637756,0.5,19.47
9,Bi-GRU Adadelta,0.463544536271809,0.49226482737121036,0.3622652783794685,0.4585365951061249,0.48049921996879874,0.6946185827255249,0.49226482737121036,19.47
