,Model,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
0,Bi-LSTM RMSProp,0.9441375136654693,0.9432721533785363,0.9422686987149995,0.9717073440551758,0.9422776911076443,0.18545570969581604,0.9432721533785363,20.11
1,Bi-LSTM Adam,0.9414985871577511,0.9414211674849973,0.9407174844236761,0.9721951484680176,0.9407176287051482,0.16769590973854065,0.9414211674849973,21.45
2,Bi-LSTM Nadam,0.9427585193889543,0.9404810614916999,0.9391196347031963,0.9575609564781189,0.9391575663026521,0.18527443706989288,0.9404810614916997,20.44
3,Bi-LSTM Adam-Weight-Decay,0.9292656061137754,0.9290146909827761,0.9282355575459024,0.9512194991111755,0.9282371294851794,0.24868926405906677,0.9290146909827762,20.17
4,Bi-LSTM SGD-Momentum,0.7062125659197747,0.6683763931104356,0.6561061697021037,0.6234146356582642,0.6739469578783152,0.6761385798454285,0.6683763931104356,22.89
5,Bi-LSTM SGD,0.6465665411687674,0.6046732522796352,0.5696777618185225,0.4995121955871582,0.5975039001560063,0.6908090114593506,0.6046732522796352,19.74
6,Bi-LSTM SGD-Nesterov-Momentum,0.25663026521060844,0.5,0.3391752577319588,0.5058536529541016,0.5132605304212169,0.6850760579109192,0.5,19.36
7,Bi-LSTM Ftrl,0.24336973478939158,0.5,0.3273871983210913,0.49560976028442383,0.48673946957878317,0.6931837797164917,0.5,20.02
8,Bi-LSTM Adadelta,0.41765648567119157,0.4914903359052295,0.33892223704362434,0.48097559809684753,0.4789391575663027,0.692782998085022,0.4914903359052295,19.49
9,Bi-LSTM Adagrad,0.3149081583668107,0.35726463253059,0.31601411803332513,0.3824390172958374,0.35101404056162244,0.6938040852546692,0.35726463253059,19.44
