Model,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
Bi-GRU Adam,0.9593583825162156,0.95949263502455,0.959416153666329,0.9843902587890624,0.9594383775351014,0.1284608393907547,0.95949263502455,19.56
Bi-GRU RMSProp,0.9583357681294922,0.9584697217675942,0.9578779050664796,0.9795122146606444,0.9578783151326054,0.1204590126872062,0.9584697217675942,20.42
Bi-GRU Adam-Weight-Decay,0.9547060885141844,0.9550161717714908,0.9547471767194686,0.9834146499633788,0.9547581903276132,0.1326764076948166,0.955016171771491,19.52
Bi-GRU Nadam,0.9503999609794168,0.949794443145507,0.9500136468202908,0.9887804985046388,0.9500780031201248,0.1332119852304458,0.949794443145507,20.07
Bi-LSTM RMSProp,0.9441375136654692,0.9432721533785364,0.9422686987149996,0.9717073440551758,0.9422776911076444,0.185455709695816,0.9432721533785364,20.11
Bi-LSTM Adam,0.9414985871577513,0.9414211674849972,0.940717484423676,0.9721951484680176,0.9407176287051482,0.1676959097385406,0.9414211674849972,21.45
Bi-LSTM Nadam,0.9427585193889544,0.9404810614917,0.9391196347031964,0.9575609564781188,0.939157566302652,0.1852744370698928,0.9404810614916996,20.44
BRNN RMSProp,0.9378034218150496,0.9357561764476658,0.9344414789994544,0.9717073440551758,0.9344773790951638,0.1951096653938293,0.9357561764476658,162.41
Bi-LSTM Adam-Weight-Decay,0.9292656061137754,0.929014690982776,0.9282355575459024,0.9512194991111756,0.9282371294851794,0.2486892640590667,0.9290146909827762,20.17
BRNN Adam-Weight-Decay,0.915076503264789,0.9149228431143324,0.9141957325428292,0.9590243697166444,0.9141965678627144,0.228974774479866,0.9149228431143324,160.53
BRNN Adam,0.8960325947048456,0.8896666276985425,0.8873770107761987,0.9707317352294922,0.8876755070202809,0.2824416756629944,0.8896666276985427,203.46
Bi-GRU SGD-Momentum,0.734244771693,0.6785178474008261,0.6625049523531497,0.6439024209976196,0.6848673946957878,0.6783952116966248,0.6785178474008261,19.46
Bi-LSTM SGD-Momentum,0.7062125659197747,0.6683763931104356,0.6561061697021037,0.6234146356582642,0.6739469578783152,0.6761385798454285,0.6683763931104356,22.89
BRNN Nadam,0.7872834765914742,0.6282879354687866,0.574953125714547,0.8439024686813354,0.6380655226209049,0.8230631947517395,0.6282879354687866,161.51
Bi-GRU SGD,0.6605011198897339,0.6270555685449302,0.6024801129040902,0.6321951150894165,0.6209048361934477,0.6901968717575073,0.6270555685449302,19.67
Bi-GRU SGD-Nesterov-Momentum,0.6675450153711023,0.6114975450081833,0.5710363797318945,0.590731680393219,0.6037441497659907,0.6693258285522461,0.6114975450081833,20.32
Bi-LSTM SGD,0.6465665411687674,0.6046732522796352,0.5696777618185225,0.4995121955871582,0.5975039001560063,0.6908090114593506,0.6046732522796352,19.74
BRNN Adagrad,0.562290409121395,0.5434299742810381,0.5098763858799541,0.5463414788246155,0.5507020280811232,0.6882726550102234,0.543429974281038,203.33
BRNN Adadelta,0.542812077512393,0.501850985893539,0.3510646262821577,0.5082926750183105,0.514820592823713,0.6904586553573608,0.501850985893539,161.43
BRNN SGD,0.2566302652106084,0.5,0.3391752577319588,0.5692682862281799,0.5132605304212169,0.7720526456832886,0.5,162.54
BRNN SGD-Nesterov-Momentum,0.2566302652106084,0.5,0.3391752577319588,0.5019512176513672,0.5132605304212169,0.69341641664505,0.5,160.51
Bi-LSTM SGD-Nesterov-Momentum,0.2566302652106084,0.5,0.3391752577319588,0.5058536529541016,0.5132605304212169,0.6850760579109192,0.5,19.36
Bi-GRU Adagrad,0.4836219336219336,0.4988942794793859,0.3522890523862253,0.507317066192627,0.5117004680187207,0.6928499937057495,0.4988942794793858,19.46
BRNN Ftrl,0.2433697347893915,0.5,0.3273871983210913,0.4956097602844238,0.4867394695787831,0.693178117275238,0.5,160.52
Bi-LSTM Ftrl,0.2433697347893915,0.5,0.3273871983210913,0.4956097602844238,0.4867394695787831,0.6931837797164917,0.5,20.02
Bi-GRU Ftrl,0.2433697347893915,0.5,0.3273871983210913,0.4956097602844238,0.4867394695787831,0.6931548714637756,0.5,19.47
Bi-GRU Adadelta,0.463544536271809,0.4922648273712103,0.3622652783794685,0.4585365951061249,0.4804992199687987,0.6946185827255249,0.4922648273712103,19.47
BRNN SGD-Momentum,0.445776758949039,0.4700432546177227,0.4071914318624845,0.4853658676147461,0.4789391575663027,0.7013264894485474,0.4700432546177227,160.38
Bi-LSTM Adadelta,0.4176564856711915,0.4914903359052295,0.3389222370436243,0.4809755980968475,0.4789391575663027,0.692782998085022,0.4914903359052295,19.49
Bi-LSTM Adagrad,0.3149081583668107,0.35726463253059,0.3160141180333251,0.3824390172958374,0.3510140405616224,0.6938040852546692,0.35726463253059,19.44
