Optimizer,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
RMSProp,0.9467589012033369,0.9458326838645988,0.9448626942603112,0.974308967590332,0.9448777951118045,0.16700812925895048,0.9458326838645988,67.64666666666666
Adam-Weight-Decay,0.9330160659642496,0.9329845686228664,0.9323928222693999,0.9645528395970663,0.9323972958918357,0.20344681541124976,0.9329845686228665,66.74
Adam,0.9322965214596043,0.9301934767360299,0.9291702162887345,0.9757723808288574,0.9292771710868436,0.1928661415974299,0.9301934767360299,81.49
Nadam,0.8934806523199486,0.839521146701998,0.8213621357460115,0.930081307888031,0.8424336973478939,0.38051653901735943,0.8395211467019977,67.33999999999999
SGD-Momentum,0.6287446988539379,0.6056458317096615,0.5752675179725792,0.5842276414235433,0.6125845033801353,0.6852867603302002,0.6056458317096615,67.57666666666667
SGD,0.5212326420897032,0.5772429402748551,0.5037777108181904,0.5669918656349182,0.577223088923557,0.7176861763000488,0.5772429402748551,67.31666666666666
SGD-Nesterov-Momentum,0.39360184859743974,0.5371658483360612,0.416462298398604,0.5328455169995626,0.5434217368694748,0.6826061010360718,0.5371658483360612,66.73
Adadelta,0.4746710331517978,0.49520204972332627,0.3507507139017501,0.48260162274042767,0.4914196567862714,0.6926200787226359,0.49520204972332627,66.79666666666667
Ftrl,0.2433697347893915,0.5,0.3273871983210913,0.4956097602844238,0.48673946957878317,0.6931722561518351,0.5,66.67
Adagrad,0.45360683370337984,0.4665296287636713,0.3927265187665015,0.4786991874376933,0.4711388455538221,0.6916422446568807,0.46652962876367127,80.74333333333334
